first:2 scnd:4 diff:2
first:3121 scnd:5227 diff:2106
first:3159 scnd:5269 diff:2110
first:3181 scnd:5307 diff:2126
first:3231 scnd:5347 diff:2116
first:3255 scnd:5455 diff:2200
first:3291 scnd:5509 diff:2218
first:3339 scnd:5551 diff:2212
first:3375 scnd:5595 diff:2220
first:3397 scnd:5655 diff:2258
first:3411 scnd:5679 diff:2268
first:3439 scnd:5751 diff:2312
first:3493 scnd:5811 diff:2318
first:3553 scnd:5871 diff:2318
first:3577 scnd:5917 diff:2340
first:3615 scnd:5991 diff:2376
first:3637 scnd:6061 diff:2424
first:3673 scnd:6097 diff:2424
first:3721 scnd:6181 diff:2460
first:3759 scnd:6231 diff:2472
first:3787 scnd:6279 diff:2492
first:3819 scnd:6337 diff:2518
first:3841 scnd:6397 diff:2556
first:3877 scnd:6433 diff:2556
first:3901 scnd:6493 diff:2592
first:3937 scnd:6519 diff:2582
first:3987 scnd:6555 diff:2568
first:4045 scnd:6627 diff:2582
first:4051 scnd:6661 diff:2610
first:4071 scnd:6711 diff:2640
first:4095 scnd:6757 diff:2662
first:4111 scnd:6841 diff:2730
first:4155 scnd:6877 diff:2722
first:4189 scnd:6939 diff:2750
first:4225 scnd:6997 diff:2772
first:4251 scnd:7047 diff:2796
first:4287 scnd:7111 diff:2824
first:4303 scnd:7135 diff:2832
first:4357 scnd:7179 diff:2822
first:4381 scnd:7237 diff:2856
first:4395 scnd:7291 diff:2896
first:4407 scnd:7387 diff:2980
first:4441 scnd:7465 diff:3024
first:4467 scnd:7503 diff:3036
first:4483 scnd:7543 diff:3060
first:4513 scnd:7597 diff:3084
first:4527 scnd:7657 diff:3130
first:4585 scnd:7731 diff:3146
first:4611 scnd:7801 diff:3190
first:4671 scnd:7849 diff:3178
first:4699 scnd:7875 diff:3176
first:4735 scnd:7921 diff:3186
first:4743 scnd:7999 diff:3256
first:4791 scnd:8031 diff:3240
first:4827 scnd:8079 diff:3252
first:4839 scnd:8115 diff:3276
first:4879 scnd:8175 diff:3296
first:4981 scnd:8223 diff:3242
first:5011 scnd:8263 diff:3252
first:5029 scnd:8343 diff:3314
first:5059 scnd:8389 diff:3330
first:5089 scnd:8413 diff:3324
first:5127 scnd:8451 diff:3324
first:5155 scnd:8515 diff:3360
first:5175 scnd:8575 diff:3400
first:5221 scnd:8607 diff:3386
first:5235 scnd:8667 diff:3432
first:5259 scnd:8713 diff:3454
first:5299 scnd:8775 diff:3476
first:5311 scnd:8803 diff:3492
first:5343 scnd:8871 diff:3528
first:5371 scnd:8919 diff:3548
first:5475 scnd:8941 diff:3466
first:5499 scnd:9037 diff:3538
first:5533 scnd:9109 diff:3576
first:5557 scnd:9159 diff:3602
first:5583 scnd:9193 diff:3610
first:5617 scnd:9259 diff:3642
first:5659 scnd:9331 diff:3672
first:5677 scnd:9415 diff:3738
first:5739 scnd:9495 diff:3756
first:5761 scnd:9555 diff:3794
first:5799 scnd:9627 diff:3828
first:5833 scnd:9685 diff:3852
first:5887 scnd:9727 diff:3840
first:5905 scnd:9795 diff:3890
first:5947 scnd:9883 diff:3936
first:6001 scnd:9951 diff:3950
first:6055 scnd:10011 diff:3956
first:6073 scnd:10057 diff:3984
first:6103 scnd:10117 diff:4014
first:6169 scnd:10227 diff:4058
first:6199 scnd:10309 diff:4110
first:6247 scnd:10369 diff:4122
first:6277 scnd:10429 diff:4152
first:6313 scnd:10467 diff:4154
first:6349 scnd:10567 diff:4218
first:6387 scnd:10623 diff:4236
first:6409 scnd:10699 diff:4290
first:6451 scnd:10767 diff:4316
first:6481 scnd:10813 diff:4332
first:6507 scnd:10875 diff:4368
first:6529 scnd:10933 diff:4404
first:6535 scnd:10959 diff:4424
first:6613 scnd:10999 diff:4386
first:6631 scnd:11071 diff:4440
first:6649 scnd:11149 diff:4500
first:6697 scnd:11223 diff:4526
first:6715 scnd:11281 diff:4566
first:6745 scnd:11311 diff:4566
first:6783 scnd:11377 diff:4594
first:6853 scnd:11427 diff:4574
first:6867 scnd:11475 diff:4608
first:6925 scnd:11557 diff:4632
first:6975 scnd:11611 diff:4636
first:6991 scnd:11689 diff:4698
first:7035 scnd:11739 diff:4704
first:7069 scnd:11811 diff:4742
first:7107 scnd:11833 diff:4726
first:7119 scnd:11919 diff:4800
first:7147 scnd:11995 diff:4848
first:7171 scnd:12051 diff:4880
first:7191 scnd:12087 diff:4896
first:7249 scnd:12157 diff:4908
first:7273 scnd:12229 diff:4956
first:7327 scnd:12279 diff:4952
first:7399 scnd:12351 diff:4952
first:7453 scnd:12385 diff:4932
first:7471 scnd:12435 diff:4964
first:7507 scnd:12469 diff:4962
first:7527 scnd:12529 diff:5002
first:7567 scnd:12613 diff:5046
first:7609 scnd:12673 diff:5064
first:7633 scnd:12733 diff:5100
first:7707 scnd:12763 diff:5056
first:7753 scnd:12829 diff:5076
first:7795 scnd:12891 diff:5096
first:7831 scnd:12967 diff:5136
first:7861 scnd:13023 diff:5162
first:7873 scnd:13087 diff:5214
first:7899 scnd:13195 diff:5296
first:7933 scnd:13227 diff:5294
first:7983 scnd:13321 diff:5338
first:8017 scnd:13411 diff:5394
first:8047 scnd:13447 diff:5400
first:8071 scnd:13491 diff:5420
first:8091 scnd:13573 diff:5482
first:8127 scnd:13657 diff:5530
first:8161 scnd:13681 diff:5520
first:8185 scnd:13731 diff:5546
first:8227 scnd:13791 diff:5564
first:8247 scnd:13837 diff:5590
first:8281 scnd:13887 diff:5606
first:8355 scnd:13947 diff:5592
first:8379 scnd:13971 diff:5592
first:8395 scnd:14053 diff:5658
first:8425 scnd:14089 diff:5664
first:8439 scnd:14125 diff:5686
first:8497 scnd:14199 diff:5702
first:8539 scnd:14235 diff:5696
first:8571 scnd:14341 diff:5770
first:8587 scnd:14427 diff:5840
first:8619 scnd:14515 diff:5896
first:8659 scnd:14587 diff:5928
first:8691 scnd:14607 diff:5916
first:8715 scnd:14655 diff:5940
first:8773 scnd:14703 diff:5930
first:8791 scnd:14787 diff:5996
first:8835 scnd:14851 diff:6016
first:8869 scnd:14943 diff:6074
first:8907 scnd:14977 diff:6070
first:8929 scnd:15073 diff:6144
first:8935 scnd:15127 diff:6192
first:9001 scnd:15241 diff:6240
first:9039 scnd:15307 diff:6268
first:9091 scnd:15387 diff:6296
first:9133 scnd:15423 diff:6290
first:9171 scnd:15463 diff:6292
first:9187 scnd:15517 diff:6330
first:9231 scnd:15579 diff:6348
first:9289 scnd:15637 diff:6348
first:9313 scnd:15721 diff:6408
first:9361 scnd:15759 diff:6398
first:9423 scnd:15817 diff:6394
first:9481 scnd:15841 diff:6360
first:9529 scnd:15903 diff:6374
first:9589 scnd:15967 diff:6378
first:9601 scnd:16033 diff:6432
first:9637 scnd:16081 diff:6444
first:9687 scnd:16135 diff:6448
first:9711 scnd:16191 diff:6480
first:9747 scnd:16227 diff:6480
first:9817 scnd:16299 diff:6482
first:9877 scnd:16371 diff:6494
first:9907 scnd:16417 diff:6510
first:9973 scnd:16489 diff:6516
first:9991 scnd:16597 diff:6606
first:10045 scnd:16693 diff:6648
first:10095 scnd:16741 diff:6646
first:10107 scnd:16789 diff:6682
first:10143 scnd:16887 diff:6744
first:10279 scnd:16957 diff:6678
first:10299 scnd:17031 diff:6732
first:10339 scnd:17089 diff:6750
first:10393 scnd:17223 diff:6830
first:10407 scnd:17281 diff:6874
first:10453 scnd:17331 diff:6878
first:10491 scnd:17359 diff:6868
first:10519 scnd:17467 diff:6948
first:10599 scnd:17547 diff:6948
first:10635 scnd:17595 diff:6960
first:10671 scnd:17689 diff:7018
first:10717 scnd:17739 diff:7022
first:10777 scnd:17821 diff:7044
first:10801 scnd:17899 diff:7098
first:10863 scnd:17955 diff:7092
first:10885 scnd:18027 diff:7142
first:10915 scnd:18111 diff:7196
first:10951 scnd:18163 diff:7212
first:10981 scnd:18241 diff:7260
first:10987 scnd:18289 diff:7302
first:11041 scnd:18337 diff:7296
first:11077 scnd:18367 diff:7290
first:11113 scnd:18475 diff:7362
first:11209 scnd:18531 diff:7322
first:11233 scnd:18577 diff:7344
first:11251 scnd:18663 diff:7412
first:11305 scnd:18697 diff:7392
first:11347 scnd:18793 diff:7446
first:11359 scnd:18867 diff:7508
first:11401 scnd:18883 diff:7482
first:11437 scnd:18949 diff:7512
first:11473 scnd:18973 diff:7500
first:11527 scnd:19015 diff:7488
first:11571 scnd:19081 diff:7510
first:11607 scnd:19143 diff:7536
first:11655 scnd:19179 diff:7524
first:11701 scnd:19263 diff:7562
first:11713 scnd:19357 diff:7644
first:11797 scnd:19407 diff:7610
first:11815 scnd:19513 diff:7698
first:11823 scnd:19567 diff:7744
first:11893 scnd:19717 diff:7824
first:11931 scnd:19747 diff:7816
first:11989 scnd:19789 diff:7800
first:12031 scnd:19849 diff:7818
first:12061 scnd:19891 diff:7830
first:12079 scnd:19959 diff:7880
first:12135 scnd:20059 diff:7924
first:12175 scnd:20137 diff:7962
first:12195 scnd:20197 diff:8002
first:12253 scnd:20257 diff:8004
first:12289 scnd:20323 diff:8034
first:12327 scnd:20377 diff:8050
first:12367 scnd:20425 diff:8058
first:12387 scnd:20485 diff:8098
first:12411 scnd:20533 diff:8122
first:12457 scnd:20571 diff:8114
first:12471 scnd:20635 diff:8164
first:12495 scnd:20719 diff:8224
first:12589 scnd:20797 diff:8208
first:12615 scnd:20863 diff:8248
first:12663 scnd:20931 diff:8268
first:12711 scnd:21031 diff:8320
first:12735 scnd:21067 diff:8332
first:12757 scnd:21121 diff:8364
first:12793 scnd:21193 diff:8400
first:12835 scnd:21255 diff:8420
first:12871 scnd:21331 diff:8460
first:12943 scnd:21391 diff:8448
first:12975 scnd:21427 diff:8452
first:13015 scnd:21469 diff:8454
first:13075 scnd:21507 diff:8432
first:13107 scnd:21541 diff:8434
first:13141 scnd:21607 diff:8466
first:13213 scnd:21675 diff:8462
first:13261 scnd:21727 diff:8466
first:13309 scnd:21793 diff:8484
first:13393 scnd:21877 diff:8484
first:13417 scnd:21907 diff:8490
first:13429 scnd:22023 diff:8594
first:13471 scnd:22095 diff:8624
first:13507 scnd:22131 diff:8624
first:13555 scnd:22225 diff:8670
first:13587 scnd:22291 diff:8704
first:13659 scnd:22347 diff:8688
first:13671 scnd:22447 diff:8776
first:13707 scnd:22501 diff:8794
first:13741 scnd:22561 diff:8820
first:13789 scnd:22633 diff:8844
first:13807 scnd:22695 diff:8888
first:13839 scnd:22767 diff:8928
first:13879 scnd:22813 diff:8934
first:13911 scnd:22897 diff:8986
first:13951 scnd:22969 diff:9018
first:13969 scnd:23019 diff:9050
first:13993 scnd:23091 diff:9098
first:14055 scnd:23161 diff:9106
first:14079 scnd:23259 diff:9180
first:14115 scnd:23365 diff:9250
first:14149 scnd:23407 diff:9258
first:14185 scnd:23473 diff:9288
first:14211 scnd:23509 diff:9298
first:14295 scnd:23587 diff:9292
first:14335 scnd:23667 diff:9332
first:14379 scnd:23703 diff:9324
first:14463 scnd:23743 diff:9280
first:14497 scnd:23835 diff:9338
first:14547 scnd:23895 diff:9348
first:14593 scnd:23953 diff:9360
first:14599 scnd:24037 diff:9438
first:14641 scnd:24139 diff:9498
first:14665 scnd:24217 diff:9552
first:14695 scnd:24291 diff:9596
first:14749 scnd:24351 diff:9602
first:14811 scnd:24397 diff:9586
first:14835 scnd:24463 diff:9628
first:14905 scnd:24565 diff:9660
first:14947 scnd:24639 diff:9692
first:14967 scnd:24675 diff:9708
first:15013 scnd:24733 diff:9720
first:15087 scnd:24769 diff:9682
first:15111 scnd:24847 diff:9736
first:15181 scnd:24901 diff:9720
first:15253 scnd:24975 diff:9722
first:15291 scnd:25035 diff:9744
first:15351 scnd:25105 diff:9754
first:15397 scnd:25237 diff:9840
first:15421 scnd:25273 diff:9852
first:15445 scnd:25321 diff:9876
first:15471 scnd:25407 diff:9936
first:15507 scnd:25477 diff:9970
first:15535 scnd:25551 diff:10016
first:15589 scnd:25659 diff:10070
first:15627 scnd:25743 diff:10116
first:15673 scnd:25825 diff:10152
first:15735 scnd:25897 diff:10162
first:15747 scnd:25981 diff:10234
first:15783 scnd:26065 diff:10282
first:15823 scnd:26127 diff:10304
first:15831 scnd:26199 diff:10368
first:15867 scnd:26269 diff:10402
first:15913 scnd:26343 diff:10430
first:15931 scnd:26407 diff:10476
first:15997 scnd:26475 diff:10478
first:16039 scnd:26515 diff:10476
first:16069 scnd:26595 diff:10526
first:16111 scnd:26667 diff:10556
first:16143 scnd:26725 diff:10582
first:16167 scnd:26821 diff:10654
first:16215 scnd:26905 diff:10690
first:16239 scnd:26971 diff:10732
first:16287 scnd:27061 diff:10774
first:16347 scnd:27151 diff:10804
first:16395 scnd:27241 diff:10846
first:16407 scnd:27289 diff:10882
first:16453 scnd:27387 diff:10934
first:16513 scnd:27421 diff:10908
first:16573 scnd:27495 diff:10922
first:16671 scnd:27601 diff:10930
first:16705 scnd:27631 diff:10926
first:16711 scnd:27783 diff:11072
first:16755 scnd:27835 diff:11080
first:16791 scnd:27919 diff:11128
first:16839 scnd:27997 diff:11158
first:16903 scnd:28063 diff:11160
first:16975 scnd:28095 diff:11120
first:17005 scnd:28195 diff:11190
first:17071 scnd:28297 diff:11226
first:17103 scnd:28371 diff:11268
first:17119 scnd:28411 diff:11292
first:17245 scnd:28455 diff:11210
first:17287 scnd:28501 diff:11214
first:17319 scnd:28575 diff:11256
first:17353 scnd:28647 diff:11294
first:17413 scnd:28717 diff:11304
first:17437 scnd:28779 diff:11342
first:17533 scnd:28861 diff:11328
first:17551 scnd:28951 diff:11400
first:17587 scnd:28993 diff:11406
first:17631 scnd:29091 diff:11460
first:17691 scnd:29161 diff:11470
first:17727 scnd:29235 diff:11508
first:17773 scnd:29293 diff:11520
first:17839 scnd:29367 diff:11528
first:17895 scnd:29427 diff:11532
first:17941 scnd:29559 diff:11618
first:17983 scnd:29635 diff:11652
first:18013 scnd:29707 diff:11694
first:18049 scnd:29775 diff:11726
first:18133 scnd:29823 diff:11690
first:18157 scnd:29845 diff:11688
first:18207 scnd:29917 diff:11710
first:18259 scnd:29995 diff:11736
first:18279 scnd:30075 diff:11796
first:18295 scnd:30147 diff:11852
first:18349 scnd:30205 diff:11856
first:18361 scnd:30255 diff:11894
first:18387 scnd:30319 diff:11932
first:18493 scnd:30421 diff:11928
first:18519 scnd:30447 diff:11928
first:18559 scnd:30511 diff:11952
first:18637 scnd:30553 diff:11916
first:18651 scnd:30655 diff:12004
first:18675 scnd:30709 diff:12034
first:18721 scnd:30799 diff:12078
first:18757 scnd:30889 diff:12132
first:18831 scnd:30937 diff:12106
first:18871 scnd:31033 diff:12162
first:18879 scnd:31131 diff:12252
first:18937 scnd:31213 diff:12276
first:18951 scnd:31311 diff:12360
first:18961 scnd:31405 diff:12444
first:18997 scnd:31467 diff:12470
first:19033 scnd:31507 diff:12474
first:19071 scnd:31579 diff:12508
first:19129 scnd:31611 diff:12482
first:19165 scnd:31659 diff:12494
first:19171 scnd:31759 diff:12588
first:19231 scnd:31807 diff:12576
first:19273 scnd:31887 diff:12614
first:19347 scnd:31969 diff:12622
first:19381 scnd:32055 diff:12674
first:19411 scnd:32103 diff:12692
first:19495 scnd:32155 diff:12660
first:19519 scnd:32197 diff:12678
first:19669 scnd:32233 diff:12564
first:19693 scnd:32353 diff:12660
first:19731 scnd:32449 diff:12718
first:19755 scnd:32479 diff:12724
first:19777 scnd:32547 diff:12770
first:19813 scnd:32631 diff:12818
first:19861 scnd:32743 diff:12882
first:19887 scnd:32809 diff:12922
first:19927 scnd:32851 diff:12924
first:19971 scnd:32871 diff:12900
first:20017 scnd:32959 diff:12942
first:20107 scnd:33001 diff:12894
first:20139 scnd:33063 diff:12924
first:20179 scnd:33171 diff:12992
first:20223 scnd:33217 diff:12994
first:20293 scnd:33315 diff:13022
first:20319 scnd:33385 diff:13066
first:20355 scnd:33421 diff:13066
first:20389 scnd:33507 diff:13118
first:20401 scnd:33555 diff:13154
first:20463 scnd:33607 diff:13144
first:20503 scnd:33667 diff:13164
first:20527 scnd:33793 diff:13266
first:20557 scnd:33841 diff:13284
first:20583 scnd:33889 diff:13306
first:20619 scnd:33967 diff:13348
first:20713 scnd:34003 diff:13290
first:20727 scnd:34075 diff:13348
first:20787 scnd:34119 diff:13332
first:20815 scnd:34171 diff:13356
first:20869 scnd:34285 diff:13416
first:20919 scnd:34359 diff:13440
first:20989 scnd:34429 diff:13440
first:21037 scnd:34531 diff:13494
first:21061 scnd:34587 diff:13526
first:21099 scnd:34635 diff:13536
first:21151 scnd:34705 diff:13554
first:21187 scnd:34741 diff:13554
first:21205 scnd:34849 diff:13644
first:21313 scnd:34933 diff:13620
first:21325 scnd:35011 diff:13686
first:21373 scnd:35107 diff:13734
first:21403 scnd:35173 diff:13770
first:21411 scnd:35227 diff:13816
first:21435 scnd:35251 diff:13816
first:21471 scnd:35287 diff:13816
first:21499 scnd:35331 diff:13832
first:21529 scnd:35451 diff:13922
first:21583 scnd:35511 diff:13928
first:21601 scnd:35583 diff:13982
first:21649 scnd:35641 diff:13992
first:21679 scnd:35703 diff:14024
first:21721 scnd:35803 diff:14082
first:21781 scnd:35835 diff:14054
first:21807 scnd:35881 diff:14074
first:21867 scnd:35989 diff:14122
first:21901 scnd:36027 diff:14126
first:21961 scnd:36133 diff:14172
first:21999 scnd:36181 diff:14182
first:22039 scnd:36231 diff:14192
first:22107 scnd:36307 diff:14200
first:22117 scnd:36351 diff:14234
first:22189 scnd:36411 diff:14222
first:22237 scnd:36495 diff:14258
first:22267 scnd:36543 diff:14276
first:22309 scnd:36589 diff:14280
first:22375 scnd:36687 diff:14312
first:22435 scnd:36747 diff:14312
first:22479 scnd:36781 diff:14302
first:22503 scnd:36853 diff:14350
first:22537 scnd:36937 diff:14400
first:22599 scnd:37021 diff:14422
first:22635 scnd:37081 diff:14446
first:22687 scnd:37177 diff:14490
first:22717 scnd:37321 diff:14604
first:22777 scnd:37407 diff:14630
first:22795 scnd:37453 diff:14658
first:22861 scnd:37567 diff:14706
first:22909 scnd:37627 diff:14718
first:22951 scnd:37693 diff:14742
first:22993 scnd:37813 diff:14820
first:23041 scnd:37891 diff:14850
first:23077 scnd:37951 diff:14874
first:23149 scnd:38041 diff:14892
first:23167 scnd:38077 diff:14910
first:23257 scnd:38131 diff:14874
first:23305 scnd:38197 diff:14892
first:23367 scnd:38281 diff:14914
first:23389 scnd:38419 diff:15030
first:23427 scnd:38503 diff:15076
first:23475 scnd:38547 diff:15072
first:23499 scnd:38607 diff:15108
first:23559 scnd:38665 diff:15106
first:23593 scnd:38719 diff:15126
first:23653 scnd:38815 diff:15162
first:23679 scnd:38857 diff:15178
first:23707 scnd:38929 diff:15222
first:23725 scnd:38965 diff:15240
first:23821 scnd:39063 diff:15242
first:23845 scnd:39133 diff:15288
first:23881 scnd:39267 diff:15386
first:23923 scnd:39301 diff:15378
first:23989 scnd:39339 diff:15350
first:24031 scnd:39411 diff:15380
first:24097 scnd:39495 diff:15398
first:24147 scnd:39547 diff:15400
first:24175 scnd:39651 diff:15476
first:24265 scnd:39685 diff:15420
first:24315 scnd:39751 diff:15436
first:24349 scnd:39819 diff:15470
first:24379 scnd:39889 diff:15510
first:24399 scnd:39927 diff:15528
first:24459 scnd:39973 diff:15514
first:24507 scnd:40075 diff:15568
first:24577 scnd:40129 diff:15552
first:24601 scnd:40177 diff:15576
first:24661 scnd:40285 diff:15624
first:24679 scnd:40371 diff:15692
first:24709 scnd:40467 diff:15758
first:24757 scnd:40587 diff:15830
first:24775 scnd:40695 diff:15920
first:24807 scnd:40777 diff:15970
first:24877 scnd:40801 diff:15924
first:24903 scnd:40911 diff:16008
first:24967 scnd:41055 diff:16088
first:25021 scnd:41149 diff:16128
first:25057 scnd:41223 diff:16166
first:25081 scnd:41317 diff:16236
first:25165 scnd:41377 diff:16212
first:25251 scnd:41491 diff:16240
first:25263 scnd:41571 diff:16308
first:25287 scnd:41713 diff:16426
first:25357 scnd:41775 diff:16418
first:25371 scnd:41919 diff:16548
first:25455 scnd:42027 diff:16572
first:25507 scnd:42121 diff:16614
first:25549 scnd:42195 diff:16646
first:25587 scnd:42279 diff:16692
first:25693 scnd:42315 diff:16622
first:25731 scnd:42397 diff:16666
first:25813 scnd:42493 diff:16680
first:25849 scnd:42627 diff:16778
first:25891 scnd:42697 diff:16806
first:25911 scnd:42745 diff:16834
first:26005 scnd:42895 diff:16890
first:26055 scnd:42927 diff:16872
first:26113 scnd:42961 diff:16848
first:26161 scnd:43023 diff:16862
first:26197 scnd:43153 diff:16956
first:26245 scnd:43207 diff:16962
first:26299 scnd:43309 diff:17010
first:26331 scnd:43431 diff:17100
first:26379 scnd:43479 diff:17100
first:26413 scnd:43551 diff:17138
first:26451 scnd:43623 diff:17172
first:26487 scnd:43695 diff:17208
first:26521 scnd:43819 diff:17298
first:26551 scnd:43899 diff:17348
first:26647 scnd:44005 diff:17358
first:26677 scnd:44065 diff:17388
first:26715 scnd:44127 diff:17412
first:26773 scnd:44223 diff:17450
first:26823 scnd:44293 diff:17470
first:26869 scnd:44377 diff:17508
first:26929 scnd:44439 diff:17510
first:27015 scnd:44473 diff:17458
first:27055 scnd:44557 diff:17502
first:27079 scnd:44611 diff:17532
first:27171 scnd:44677 diff:17506
first:27193 scnd:44725 diff:17532
first:27267 scnd:44791 diff:17524
first:27303 scnd:44859 diff:17556
first:27349 scnd:44919 diff:17570
first:27411 scnd:45001 diff:17590
first:27433 scnd:45091 diff:17658
first:27475 scnd:45169 diff:17694
first:27517 scnd:45229 diff:17712
first:27615 scnd:45301 diff:17686
first:27627 scnd:45411 diff:17784
first:27703 scnd:45495 diff:17792
first:27807 scnd:45547 diff:17740
first:27829 scnd:45661 diff:17832
first:27883 scnd:45711 diff:17828
first:27927 scnd:45829 diff:17902
first:27987 scnd:45879 diff:17892
first:28035 scnd:46009 diff:17974
first:28069 scnd:46069 diff:18000
first:28093 scnd:46155 diff:18062
first:28129 scnd:46267 diff:18138
first:28213 scnd:46309 diff:18096
first:28243 scnd:46395 diff:18152
first:28315 scnd:46489 diff:18174
first:28381 scnd:46561 diff:18180
first:28405 scnd:46609 diff:18204
first:28431 scnd:46657 diff:18226
first:28459 scnd:46717 diff:18258
first:28489 scnd:46819 diff:18330
first:28513 scnd:46861 diff:18348
first:28585 scnd:46945 diff:18360
first:28621 scnd:46995 diff:18374
first:28671 scnd:47077 diff:18406
first:28719 scnd:47151 diff:18432
first:28777 scnd:47259 diff:18482
first:28827 scnd:47343 diff:18516
first:28873 scnd:47455 diff:18582
first:28935 scnd:47571 diff:18636
first:28983 scnd:47665 diff:18682
first:28995 scnd:47833 diff:18838
first:29071 scnd:47959 diff:18888
first:29113 scnd:48039 diff:18926
first:29167 scnd:48109 diff:18942
first:29221 scnd:48207 diff:18986
first:29281 scnd:48231 diff:18950
first:29329 scnd:48277 diff:18948
first:29355 scnd:48351 diff:18996
first:29391 scnd:48397 diff:19006
first:29461 scnd:48505 diff:19044
first:29547 scnd:48531 diff:18984
first:29607 scnd:48583 diff:18976
first:29641 scnd:48649 diff:19008
first:29689 scnd:48685 diff:18996
first:29749 scnd:48769 diff:19020
first:29785 scnd:48829 diff:19044
first:29815 scnd:48913 diff:19098
first:29833 scnd:48979 diff:19146
first:29851 scnd:49045 diff:19194
first:29893 scnd:49111 diff:19218
first:29967 scnd:49155 diff:19188
first:30013 scnd:49261 diff:19248
first:30061 scnd:49311 diff:19250
first:30121 scnd:49395 diff:19274
first:30169 scnd:49431 diff:19262
